artist,album,score,reviewer,url
Burial,Rival Dealer EP,9,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/18820-burial-rival-dealer-ep/
The Thing,BOOT!,7.7,Aaron Leitko,http://pitchfork.com/reviews/albums/18735-the-thing-boot/
Lumbar,The First And Last Days Of Unwelcome,7.7,Grayson Currin,http://pitchfork.com/reviews/albums/18705-lumbar-the-first-and-last-days-of-unwelcome/
Bryce Hackford,Fair,7,Nick Neyland,http://pitchfork.com/reviews/albums/18789-bryce-hackford-fair/
Waka Flocka Flame,DuFlocka Rant 2,7.1,Miles Raymer,http://pitchfork.com/reviews/albums/17760-waka-flocka-flame-duflocka-rant-2/
Maxmillion Dunbar,House of Woo,7.8,Mike Powell,http://pitchfork.com/reviews/albums/17698-maxmillion-dunbar-house-of-woo/
The Howling Hex,The Best of The Howling Hex,6.1,Stuart Berman,http://pitchfork.com/reviews/albums/17629-the-howling-hex-the-best-of-the-howling-hex/
Robert Pollard,Blazing Gentlemen,5.7,Paul Thompson,http://pitchfork.com/reviews/albums/18802-robert-pollard-blazing-gentlemen/
Gardland,Syndrome Syndrome,6.3,Nick Neyland,http://pitchfork.com/reviews/albums/18648-gardland-syndrome-syndrome/
Inquisition,Obscure Verses for the Multiverse,8.1,Kim Kelly,http://pitchfork.com/reviews/albums/18620-inquisition-obscure-verses-for-the-multiverse/
Don Trip,Step Brothers 2,7.7,Jayson Greene,http://pitchfork.com/reviews/albums/18803-don-trip-starlito-step-brothers-2/
Mastodon,Live at Brixton,7.6,Paul Thompson,http://pitchfork.com/reviews/albums/18800-mastodon-live-in-brixton/
Iron Chic,The Constant One,7.9,Ian Cohen,http://pitchfork.com/reviews/albums/18737-iron-chic-the-constant-one/
Noveller,No Dreams,7.2,Marc Masters,http://pitchfork.com/reviews/albums/18746-noveller-no-dreams/
Bloodyminded,Within The Walls,7.5,Grayson Currin,http://pitchfork.com/reviews/albums/18744-bloodyminded-within-the-walls/
Rhys Chatham,Harmonie du Soir,7.5,Jayson Greene,http://pitchfork.com/reviews/albums/18799-rhys-chatham-harmonie-du-soir/
Ejecta,Dominae,7,Jeremy Gordon,http://pitchfork.com/reviews/albums/18739-ejecta-dominae/
Patten,Eolian Instate EP,6.9,Angus Finlayson,http://pitchfork.com/reviews/albums/18792-patten-eolian-instate-ep/
Physical Therapy,Non-Drowsy,5.9,Andrew Gaerig,http://pitchfork.com/reviews/albums/18781-physical-therapy-non-drowsy/
bEEdEEgEE,SUM/ONE,6.8,Nick Neyland,http://pitchfork.com/reviews/albums/18788-beedeegee-sumone/
Francis and the Lights,Like a Dream EP,7,Corban Goble,http://pitchfork.com/reviews/albums/18791-francis-and-the-lights-like-a-dream-ep/
Kallisti,Arc of Fire EP,6.7,Larry Fitzmaurice,http://pitchfork.com/reviews/albums/18814-arc-of-fire-ep/
Heatsick,Re-Engineering,6.8,Andy Beta,http://pitchfork.com/reviews/albums/18786-heatsick-re-engineering/
Vaura,The Missing,7.5,Grayson Currin,http://pitchfork.com/reviews/albums/18545-vaura-the-missing/
